acc,dice,MIoU,epoch,step,val_loss,val_acc,val_dice,val_MIoU,train_loss,train_acc,train_dice,train_MIoU
0.8840207457542419,0.9134261012077332,0.4839225709438324,0,49,,,,,,,,
0.9272770881652832,0.9179315567016602,0.6030436158180237,0,99,,,,,,,,
0.9571123719215393,0.9187489151954651,0.7181805372238159,0,149,,,,,,,,
0.9710255861282349,0.9332492351531982,0.7924029231071472,0,199,,,,,,,,
,,,0,220,0.8703120350837708,0.9702458381652832,0.9383906126022339,0.7876736521720886,,,,
,,,0,220,,,,,1.0234163999557495,0.8972346782684326,0.8996599316596985,0.5159249901771545
0.96682208776474,0.9034494161605835,0.7663209438323975,1,249,,,,,,,,
0.9708716869354248,0.9153091311454773,0.7913002371788025,1,299,,,,,,,,
0.9691491723060608,0.9187375903129578,0.7816309928894043,1,349,,,,,,,,
0.978270947933197,0.9333785176277161,0.8348689675331116,1,399,,,,,,,,
,,,1,441,0.8344776034355164,0.9802470803260803,0.9419825673103333,0.8483415246009827,,,,
,,,1,441,,,,,0.8297153115272522,0.9748121500015259,0.930711567401886,0.814188539981842
0.9772415161132812,0.9340409636497498,0.8291311860084534,2,449,,,,,,,,
0.9853460192680359,0.9624712467193604,0.8833776712417603,2,499,,,,,,,,
0.9851627945899963,0.9601100087165833,0.8819531798362732,2,549,,,,,,,,
0.979897677898407,0.9378178715705872,0.8458532691001892,2,599,,,,,,,,
0.9821843504905701,0.943568766117096,0.8614968657493591,2,649,,,,,,,,
,,,2,662,0.8323394060134888,0.9873446226119995,0.957308292388916,0.8972368240356445,,,,
,,,2,662,,,,,0.7990507483482361,0.9801820516586304,0.939433753490448,0.8478416204452515
0.9851899147033691,0.9554457068443298,0.8819263577461243,3,699,,,,,,,,
0.9852859377861023,0.9551612734794617,0.882215142250061,3,749,,,,,,,,
0.9829901456832886,0.9461766481399536,0.8670389652252197,3,799,,,,,,,,
0.9744756817817688,0.919964611530304,0.8121654391288757,3,849,,,,,,,,
,,,3,883,0.8213391900062561,0.9837262034416199,0.9477414488792419,0.8716302514076233,,,,
,,,3,883,,,,,0.7884066700935364,0.9810739159584045,0.9409077167510986,0.8536906242370605
0.9829024076461792,0.9448325634002686,0.8664911389350891,4,899,,,,,,,,
0.9805595278739929,0.9376177787780762,0.8500290513038635,4,949,,,,,,,,
0.9890806674957275,0.9640709161758423,0.9103136658668518,4,999,,,,,,,,
0.986636757850647,0.9543758630752563,0.891924262046814,4,1049,,,,,,,,
0.9858511686325073,0.9600555300712585,0.8866581916809082,4,1099,,,,,,,,
,,,4,1104,0.8182147145271301,0.9879463315010071,0.9572741389274597,0.901644766330719,,,,
,,,4,1104,,,,,0.7829328775405884,0.9831475019454956,0.9449999928474426,0.8675997257232666
0.986475944519043,0.9539471864700317,0.8913491368293762,5,1149,,,,,,,,
0.9869287610054016,0.9586782455444336,0.8943933844566345,5,1199,,,,,,,,
0.9834175109863281,0.9446724057197571,0.8694958686828613,5,1249,,,,,,,,
0.9855970740318298,0.9507593512535095,0.884514570236206,5,1299,,,,,,,,
,,,5,1325,0.8163694739341736,0.9863041043281555,0.9524226188659668,0.8897238969802856,,,,
,,,5,1325,,,,,0.7784618139266968,0.9849119782447815,0.9489730596542358,0.8797973394393921
0.989764392375946,0.9659054279327393,0.9152640700340271,6,1349,,,,,,,,
0.9832672476768494,0.9399551153182983,0.8678749203681946,6,1399,,,,,,,,
0.9825159907341003,0.9386614561080933,0.862990140914917,6,1449,,,,,,,,
0.9802163243293762,0.9311198592185974,0.8478866219520569,6,1499,,,,,,,,
,,,6,1546,0.8195581436157227,0.9850432872772217,0.9497013688087463,0.8807801604270935,,,,
