acc,dice,MIoU,epoch,step,val_loss,val_acc,val_dice,val_MIoU,train_loss,train_acc,train_dice,train_MIoU
0.9725690484046936,0.2990642189979553,0.1758233606815338,0,49,,,,,,,,
0.9959965944290161,0.7486312985420227,0.5982499718666077,0,99,,,,,,,,
0.9964051246643066,0.806749701499939,0.6760942935943604,0,149,,,,,,,,
0.9956328868865967,0.8017641305923462,0.6691204309463501,0,199,,,,,,,,
,,,0,245,0.4493962824344635,0.9952134490013123,0.7098806500434875,0.550244152545929,,,,
,,,0,245,,,,,0.4349578320980072,0.9260572791099548,0.24945342540740967,0.14250031113624573
0.989766001701355,0.7955405116081238,0.6604958772659302,1,249,,,,,,,,
0.9943199753761292,0.7602019309997559,0.6131659150123596,1,299,,,,,,,,
0.9957399964332581,0.7157579660415649,0.5573388338088989,1,349,,,,,,,,
0.9881891012191772,0.7303951978683472,0.5752933621406555,1,399,,,,,,,,
0.9931516051292419,0.724797248840332,0.5683780908584595,1,449,,,,,,,,
,,,1,491,0.4149419367313385,0.9954069256782532,0.7244957685470581,0.5680073499679565,,,,
,,,1,491,,,,,0.2808396816253662,0.992901086807251,0.7848787307739258,0.6459262371063232
0.9930270314216614,0.8128885626792908,0.6847618222236633,2,499,,,,,,,,
0.9960688352584839,0.7018140554428101,0.5406113266944885,2,549,,,,,,,,
0.9952293038368225,0.8652831315994263,0.7625542283058167,2,599,,,,,,,,
0.9972347617149353,0.8495527505874634,0.738454282283783,2,649,,,,,,,,
0.9960987567901611,0.8333333134651184,0.7142857313156128,2,699,,,,,,,,
,,,2,737,0.44424524903297424,0.9953218102455139,0.678494393825531,0.5134252905845642,,,,
,,,2,737,,,,,0.24821282923221588,0.9936206340789795,0.8083963990211487,0.678410530090332
0.9937794208526611,0.7791242599487305,0.6381683945655823,3,749,,,,,,,,
0.9952816367149353,0.835161030292511,0.7169755101203918,3,799,,,,,,,,
0.9919981956481934,0.7680531740188599,0.6234466433525085,3,849,,,,,,,,
0.9968336224555969,0.6474341154098511,0.47867104411125183,3,899,,,,,,,,
0.9919383525848389,0.7685595750808716,0.6241142749786377,3,949,,,,,,,,
,,,3,983,0.4176553189754486,0.9957572221755981,0.7344864010810852,0.5803860425949097,,,,
,,,3,983,,,,,0.2311387062072754,0.993929386138916,0.8184725046157837,0.6927239894866943
0.9950299859046936,0.8388399481773376,0.7224154472351074,4,999,,,,,,,,
0.9973667860031128,0.879626452922821,0.7851189374923706,4,1049,,,,,,,,
0.9941505789756775,0.8497952818870544,0.7388209104537964,4,1099,,,,,,,,
0.9942128658294678,0.8623896837234497,0.75807124376297,4,1149,,,,,,,,
0.9936224222183228,0.8299906849861145,0.7093881368637085,4,1199,,,,,,,,
,,,4,1229,0.3974933624267578,0.9959683418273926,0.7439972758293152,0.5923532247543335,,,,
,,,4,1229,,,,,0.2176826447248459,0.9942388534545898,0.8275320529937744,0.7058039307594299
0.995637834072113,0.7788861989974976,0.6378490328788757,5,1249,,,,,,,,
0.9921476244926453,0.8354218602180481,0.7173601388931274,5,1299,,,,,,,,
0.9934381246566772,0.8369241952896118,0.7195783853530884,5,1349,,,,,,,,
0.9883484840393066,0.8320706486701965,0.7124323844909668,5,1399,,,,,,,,
0.997957170009613,0.8751522302627563,0.7780184149742126,5,1449,,,,,,,,
,,,5,1475,0.4023476243019104,0.9959821105003357,0.7421807646751404,0.5900535583496094,,,,
,,,5,1475,,,,,0.2037021964788437,0.9944263100624084,0.8344549536705017,0.7159353494644165
0.9943473935127258,0.8786436319351196,0.7835543155670166,6,1499,,,,,,,,
0.9926807880401611,0.8765338659286499,0.7802050113677979,6,1549,,,,,,,,
0.9980543255805969,0.9250119924545288,0.8604859113693237,6,1599,,,,,,,,
0.9960887432098389,0.8069355487823486,0.6763553619384766,6,1649,,,,,,,,
0.9975660443305969,0.8945038318634033,0.8091424107551575,6,1699,,,,,,,,
,,,6,1721,0.4188171327114105,0.9957464337348938,0.7263829708099365,0.570330798625946,,,,
,,,6,1721,,,,,0.19403067231178284,0.9946761727333069,0.8415199518203735,0.7264000773429871
0.9890709519386292,0.806935727596283,0.6763556003570557,7,1749,,,,,,,,
0.997538685798645,0.8860701322555542,0.7954451441764832,7,1799,,,,,,,,
0.9960962533950806,0.8728600144386292,0.7744025588035583,7,1849,,,,,,,,
0.9956976175308228,0.8049249053001404,0.6735349893569946,7,1899,,,,,,,,
0.9914575815200806,0.8529903292655945,0.7436645030975342,7,1949,,,,,,,,
,,,7,1967,0.3924119770526886,0.9957193732261658,0.744062602519989,0.5924360156059265,,,,
,,,7,1967,,,,,0.19133296608924866,0.9947349429130554,0.8431664705276489,0.7288572192192078
0.9963453412055969,0.7582798004150391,0.6106687784194946,8,1999,,,,,,,,
0.9935327768325806,0.8614875674247742,0.7566782236099243,8,2049,,,,,,,,
0.9919359087944031,0.8232017159461975,0.6995266079902649,8,2099,,,,,,,,
0.998567521572113,0.924451470375061,0.8595162630081177,8,2149,,,,,,,,
0.9843849539756775,0.7850480079650879,0.646155595779419,8,2199,,,,,,,,
,,,8,2213,0.4028065800666809,0.9959245920181274,0.7331663966178894,0.5787393450737,,,,
,,,8,2213,,,,,0.1805545687675476,0.9949343204498291,0.8496434092521667,0.7385913729667664
0.9967514276504517,0.8710952997207642,0.771628737449646,9,2249,,,,,,,,
0.9959118962287903,0.8704712390899658,0.7706499099731445,9,2299,,,,,,,,
0.9977279901504517,0.8983504176139832,0.8154593110084534,9,2349,,,,,,,,
0.9965944886207581,0.8159914016723633,0.6891769170761108,9,2399,,,,,,,,
0.9957923293113708,0.8630725741386414,0.7591271996498108,9,2449,,,,,,,,
,,,9,2459,0.40500715374946594,0.9957716464996338,0.7422469854354858,0.5901373624801636,,,,
,,,9,2459,,,,,0.17690947651863098,0.9950518608093262,0.8527624607086182,0.7433180809020996
0.9976881146430969,0.8876513242721558,0.7979974150657654,10,2499,,,,,,,,
0.9968734979629517,0.8748878240585327,0.7776005864143372,10,2549,,,,,,,,
0.9972322583198547,0.7729409337043762,0.6299133896827698,10,2599,,,,,,,,
0.9977529048919678,0.854983925819397,0.7467003464698792,10,2649,,,,,,,,
0.9951670169830322,0.8617445826530457,0.7570748925209045,10,2699,,,,,,,,
,,,10,2705,0.4072410762310028,0.9958623647689819,0.7376962900161743,0.5844047665596008,,,,
,,,10,2705,,,,,0.18513818085193634,0.9948174357414246,0.8469508290290833,0.7345314025878906
0.9977653622627258,0.852830171585083,0.7434210777282715,11,2749,,,,,,,,
0.9978475570678711,0.7855014801025391,0.6467702388763428,11,2799,,,,,,,,
0.9987020492553711,0.841110110282898,0.725789487361908,11,2849,,,,,,,,
0.9943448901176453,0.8805640339851379,0.7866140007972717,11,2899,,,,,,,,
0.9955307245254517,0.8880848288536072,0.798698365688324,11,2949,,,,,,,,
,,,11,2951,0.4238261282444,0.9958931803703308,0.7410721778869629,0.5886534452438354,,,,
,,,11,2951,,,,,0.1703508496284485,0.9952040314674377,0.8581717610359192,0.7515769004821777
0.9960090517997742,0.9075911641120911,0.8308163285255432,12,2999,,,,,,,,
0.9923967719078064,0.8286548256874084,0.7074386477470398,12,3049,,,,,,,,
